Order ID,Product Name,Discount,Sales,Profit,Quantity,Category,Sub-Category
AZ-2011-145488,"Rogers File Cart, Industrial",0.4,255,-98,3,Office Supplies,Storage
AZ-2011-1474073,"Wilson Jones Hole Reinforcements, Recycled",0,10,2,2,Office Supplies,Binders
AZ-2011-1475254,"Harbour Creations Color Coded Labels, Adjustable",0,54,8,5,Office Supplies,Labels
AZ-2011-1484679,"Binney & Smith Markers, Easy-Erase",0,73,29,3,Office Supplies,Art
AZ-2011-1499597,"Boston Markers, Fluorescent",0,193,29,7,Office Supplies,Art
AZ-2011-1536006,"Logitech Keyboard, Programmable",0,666,66,9,Technology,Accessories
AZ-2011-1546153,"Eldon Trays, Wire Frame",0.4,56,-1,2,Office Supplies,Storage
AZ-2011-1584049,"Brother Ink, Laser",0,442,0,3,Technology,Copiers
AZ-2011-1584987,"Tenex File Cart, Industrial",0.1,241,24,2,Office Supplies,Storage
AZ-2011-1589827,"Novimex Steel Folding Chair, Red",0.6,164,-70,5,Furniture,Chairs
AZ-2011-1603295,"Ibico Binder Covers, Clear",0.5,20,-17,3,Office Supplies,Binders
AZ-2011-1645475,"BIC Highlighters, Fluorescent",0.5,30,-10,3,Office Supplies,Art
AZ-2011-1655349,"Fiskars Trimmer, Easy Grip",0,176,65,4,Office Supplies,Supplies
AZ-2011-1661180,"Jiffy Peel and Seal, Recycled",0,94,16,5,Office Supplies,Envelopes
AZ-2011-1672552,"Binney & Smith Sketch Pad, Blue",0,510,132,11,Office Supplies,Art
AZ-2011-1499597,"Boston Markers, Fluorescent",0,193,29,7,Office Supplies,Art
AZ-2011-1680940,"Smead Round Labels, 5000 Label Set",0,15,1,2,Office Supplies,Labels
AZ-2011-1693949,"Harbour Creations Color Coded Labels, Laser Printer Compatible",0,39,8,3,Office Supplies,Labels
AZ-2011-1722024,"Cisco Audio Dock, VoIP",0,364,142,2,Technology,Phones
AZ-2011-1723003,"Ibico Index Tab, Clear",0,18,3,2,Office Supplies,Binders
AZ-2011-1474073,"Wilson Jones Hole Reinforcements, Recycled",0,10,2,2,Office Supplies,Binders
AZ-2011-1645475,"BIC Highlighters, Fluorescent",0.5,30,-10,3,Office Supplies,Art
AZ-2011-1735855,"Deflect-O Photo Frame, Black",0,156,34,3,Furniture,Furnishings
AZ-2011-1754604,"Avery Binding Machine, Economy",0,98,12,2,Office Supplies,Binders
AZ-2011-176674,"Hoover Microwave, Red",0.1,1667,185,6,Office Supplies,Appliances
